County,Year,Measurement_avg pm25
Abington,2017,10.730194805194804
Abington,2018,9.430194805194805
Abington,2019,8.730194805194804
Abington,2020,8.230194805194804
Abington,2021,8.730194805194804
Abington,2022,7.930194805194805
Abington,2023,7.730194805194804
Abington,2024,6.530194805194805
Acton,2017,11.0
Acton,2018,10.0
Acton,2019,9.0
Acton,2020,8.5
Acton,2021,9.1
Acton,2022,8.6
Acton,2023,8.4
Acton,2024,7.8
Acushnet,2017,8.431249999999999
Acushnet,2018,7.83125
Acushnet,2019,6.9312499999999995
Acushnet,2020,6.53125
Acushnet,2021,7.1312500000000005
Acushnet,2022,6.23125
Acushnet,2023,6.23125
Acushnet,2024,5.33125
Adams,2017,10.021875000000001
Adams,2018,9.821874999999999
Adams,2019,8.921875
Adams,2020,8.421875
Adams,2021,8.821874999999999
Adams,2022,8.321874999999999
Adams,2023,8.321874999999999
Adams,2024,8.621875
Agawam,2017,11.367045454545455
Agawam,2018,10.567045454545454
Agawam,2019,9.267045454545455
Agawam,2020,8.667045454545455
Agawam,2021,10.067045454545454
Agawam,2022,8.767045454545455
Agawam,2023,8.767045454545455
Agawam,2024,8.267045454545455
Alford,2017,9.5
Alford,2018,8.9
Alford,2019,7.7
Alford,2020,7.4
Alford,2021,7.8
Alford,2022,7.2
Alford,2023,7.3
Alford,2024,7.5
Amesbury,2017,10.1
Amesbury,2018,9.5
Amesbury,2019,8.8
Amesbury,2020,8.2
Amesbury,2021,9.2
Amesbury,2022,8.6
Amesbury,2023,8.3
Amesbury,2024,7.3
Amherst,2017,10.740934065934066
Amherst,2018,9.940934065934066
Amherst,2019,8.840934065934066
Amherst,2020,8.340934065934066
Amherst,2021,9.440934065934066
Amherst,2022,8.540934065934065
Amherst,2023,8.440934065934066
Amherst,2024,8.140934065934065
Andover,2017,11.725000000000001
Andover,2018,10.524999999999999
Andover,2019,9.625
Andover,2020,9.225000000000001
Andover,2021,10.024999999999999
Andover,2022,9.425
Andover,2023,9.024999999999999
Andover,2024,8.125
Aquinnah,2017,7.9
Aquinnah,2018,8.2
Aquinnah,2019,7.4
Aquinnah,2020,7.1
Aquinnah,2021,7.4
Aquinnah,2022,6.7
Aquinnah,2023,6.8
Aquinnah,2024,5.8
Arlington,2017,10.8015
Arlington,2018,9.5015
Arlington,2019,8.7015
Arlington,2020,8.3015
Arlington,2021,8.8015
Arlington,2022,8.0015
Arlington,2023,7.601500000000001
Arlington,2024,6.5015
Ashburnham,2017,9.3
Ashburnham,2018,8.8
Ashburnham,2019,8.0
Ashburnham,2020,7.5
Ashburnham,2021,7.7
Ashburnham,2022,7.3
Ashburnham,2023,7.3
Ashburnham,2024,7.1
Ashby,2017,9.5
Ashby,2018,9.0
Ashby,2019,8.1
Ashby,2020,7.6
Ashby,2021,7.8
Ashby,2022,7.4
Ashby,2023,7.4
Ashby,2024,7.1
Ashfield,2017,9.2
Ashfield,2018,8.8
Ashfield,2019,7.9
Ashfield,2020,7.4
Ashfield,2021,8.0
Ashfield,2022,7.4
Ashfield,2023,7.4
Ashfield,2024,7.3
Ashland,2017,11.0
Ashland,2018,10.0
Ashland,2019,9.1
Ashland,2020,8.5
Ashland,2021,9.3
Ashland,2022,8.6
Ashland,2023,8.5
Ashland,2024,7.6
Athol,2017,9.361363636363636
Athol,2018,8.861363636363636
Athol,2019,7.961363636363636
Athol,2020,7.461363636363636
Athol,2021,7.961363636363636
Athol,2022,7.461363636363636
Athol,2023,7.461363636363636
Athol,2024,7.361363636363636
Attleboro,2017,9.771249999999998
Attleboro,2018,9.07125
Attleboro,2019,8.07125
Attleboro,2020,7.57125
Attleboro,2021,8.471250000000001
Attleboro,2022,7.47125
Attleboro,2023,7.371249999999999
Attleboro,2024,6.4712499999999995
Auburn,2017,10.5
Auburn,2018,9.7
Auburn,2019,8.7
Auburn,2020,8.1
Auburn,2021,9.0
Auburn,2022,8.2
Auburn,2023,8.2
Auburn,2024,7.3
Avon,2017,11.2
Avon,2018,10.0
Avon,2019,9.2
Avon,2020,8.7
Avon,2021,9.3
Avon,2022,8.4
Avon,2023,8.2
Avon,2024,7.0
Ayer,2017,9.367857142857144
Ayer,2018,8.567857142857143
Ayer,2019,7.567857142857142
Ayer,2020,7.067857142857142
Ayer,2021,7.567857142857142
Ayer,2022,7.167857142857142
Ayer,2023,6.9678571428571425
Ayer,2024,6.567857142857142
Barnstable,2017,8.138352272727273
Barnstable,2018,7.838352272727272
Barnstable,2019,7.0383522727272725
Barnstable,2020,6.738352272727273
Barnstable,2021,7.138352272727272
Barnstable,2022,6.438352272727272
Barnstable,2023,6.338352272727272
Barnstable,2024,5.638352272727272
Barre,2017,9.2875
Barre,2018,8.7875
Barre,2019,7.887499999999999
Barre,2020,7.2875
Barre,2021,7.887499999999999
Barre,2022,7.387499999999999
Barre,2023,7.387499999999999
Barre,2024,6.887499999999999
Becket,2017,9.0
Becket,2018,8.7
Becket,2019,7.7
Becket,2020,7.3
Becket,2021,7.7
Becket,2022,7.2
Becket,2023,7.3
Becket,2024,7.2
Bedford,2017,11.013636363636364
Bedford,2018,9.913636363636364
Bedford,2019,9.013636363636364
Bedford,2020,8.513636363636364
Bedford,2021,9.113636363636363
Bedford,2022,8.513636363636364
Bedford,2023,8.113636363636363
Bedford,2024,7.413636363636363
Belchertown,2017,9.76875
Belchertown,2018,9.06875
Belchertown,2019,7.96875
Belchertown,2020,7.36875
Belchertown,2021,8.46875
Belchertown,2022,7.668749999999999
